id,source_type,platform,title,creator,source_url,published_at,language,status,priority,raw_path,normalized_path,tags,notes
dk-youtube-channel,youtube-channel,youtube,Dan Koe Talks Channel,Dan Koe,https://youtube.com/c/DanKoeTalks,,en,seeded,high,corpus/youtube/0000-00-00-youtube-channel-dan-koe-talks.md,,distribution;video;channel,official channel entry
dk-x-profile,social-profile,x,Dan Koe X Profile,Dan Koe,https://twitter.com/thedankoe,,en,seeded,high,corpus/social/x/0000-00-00-x-profile-thedankoe.md,,social;x;short-form,official profile entry
dk-linkedin-profile,social-profile,linkedin,Dan Koe LinkedIn Profile,Dan Koe,https://linkedin.com/in/thedankoe,,en,seeded,high,corpus/social/linkedin/0000-00-00-linkedin-profile-thedankoe.md,,social;linkedin;articles,official profile entry
dk-koe-cast-show,podcast-show,podcast,The Koe Cast,Dan Koe,https://podcasts.apple.com/us/podcast/the-koe-cast/id1566479559,,en,seeded,high,corpus/podcasts/0000-00-00-the-koe-cast-show-page.md,,podcast;show;long-form,official show page
dk-write-deep-ideas-2025-05-06,newsletter,newsletter,Full Guide: How I Write About Deep Ideas & Still Go Viral,Dan Koe,https://letters.thedankoe.com/p/full-guide-how-i-write-about-deep,2025-05-06,en,summarized,high,corpus/newsletters/2025-05-06-full-guide-how-i-write-about-deep-ideas.md,corpus/normalized/dk-write-deep-ideas-2025-05-06.md,writing;content;positioning,public preview captured and summarized from visible lines
dk-purpose-profit-guide-2025-05-25,newsletter,newsletter,Purpose & Profit - A Guide To Discovering Your Life's Work,Dan Koe,https://letters.thedankoe.com/p/purpose-and-profit-a-guide-to-discovering,2025-05-25,en,summarized,high,corpus/newsletters/2025-05-25-purpose-and-profit-a-guide-to-discovering-your-lifes-work.md,corpus/normalized/dk-purpose-profit-guide-2025-05-25.md,book;purpose;profit,high-fidelity structured summary from official page
dk-personal-brand-2025-05-29,newsletter,newsletter,how to build a better personal brand than 99% of people,Dan Koe,https://letters.thedankoe.com/p/how-to-build-a-better-personal-brand,2025-05-29,en,summarized,high,corpus/newsletters/2025-05-29-how-to-build-a-better-personal-brand-than-99-of-people.md,corpus/normalized/dk-personal-brand-2025-05-29.md,brand;trust;monetization,high-fidelity structured summary from official page
dk-one-person-business-launchpad-2025-06-10,course,course,Full Course: The One-Person Business Launchpad,Dan Koe,https://letters.thedankoe.com/p/full-course-the-one-person-business,2025-06-10,en,summarized,high,corpus/courses/2025-06-10-full-course-the-one-person-business-launchpad.md,corpus/normalized/dk-one-person-business-launchpad-2025-06-10.md,course;one-person-business;offer,high-fidelity structured summary from official course page
dk-36-months-2025-07-22,newsletter,newsletter,You have about 36 months to make it,Dan Koe,https://thedankoe.com/letters/you-have-about-36-months-to-make-it/,2025-07-22,en,summarized,high,corpus/newsletters/2025-07-22-you-have-about-36-months-to-make-it.md,corpus/normalized/dk-36-months-2025-07-22.md,ai;future;taste,high-fidelity structured summary from official essay
dk-point-of-view-2025-07-31,newsletter,newsletter,You don't need a niche you need a point of view,Dan Koe,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/,2025-07-31,en,summarized,high,corpus/newsletters/2025-07-31-you-dont-need-a-niche-you-need-a-point-of-view.md,corpus/normalized/dk-point-of-view-2025-07-31.md,point-of-view;niche;creator,high-fidelity structured summary from official essay
dk-ai-learn-2025-12-09,newsletter,newsletter,How I Use AI To Learn 10x Faster,Dan Koe,https://letters.thedankoe.com/p/how-i-use-ai-to-learn-10x-faster,2025-12-09,en,summarized,high,corpus/newsletters/2025-12-09-how-i-use-ai-to-learn-10x-faster.md,corpus/normalized/dk-ai-learn-2025-12-09.md,ai;learning;workflow,high-fidelity structured summary from official preview
dk-one-person-business-2026-03-11,newsletter,newsletter,How to start a one-person business in 2026 things changed,Dan Koe,https://letters.thedankoe.com/p/how-to-start-a-one-person-business,2026-03-11,en,summarized,high,corpus/newsletters/2026-03-11-how-to-start-a-one-person-business-in-2026.md,corpus/normalized/dk-one-person-business-2026-03-11.md,one-person-business;ai;offer,high-fidelity structured summary from official article
dk-purpose-profit-landing,landing-page,website,Purpose & Profit,Dan Koe,https://thedankoe.com/purpose,,en,summarized,medium,corpus/courses/0000-00-00-purpose-and-profit-landing-page.md,corpus/normalized/dk-purpose-profit-landing.md,landing-page;book;offer,high-fidelity structured summary from official landing page
dk-x-one-person-business-2024-11-22,x-post,x,How to start a billion dollar business: Don't. Start a one-person business.,Dan Koe,https://x.com/thedankoe/status/1860009096088560040,2024-11-22,en,summarized,high,corpus/social/x/2024-11-22-how-to-start-a-billion-dollar-business-dont.md,corpus/normalized/dk-x-one-person-business-2024-11-22.md,x;one-person-business;short-form;audience,official x.com post captured from search result snippet
dk-youtube-niche-of-one,youtube,youtube,How To Create Your Niche Of One (In 4 Steps),Dan Koe,https://youtu.be/_VhxCfUb2Ys,,en,summarized,high,corpus/youtube/0000-00-00-how-to-create-your-niche-of-one-in-4-steps.md,corpus/normalized/dk-youtube-niche-of-one.md,youtube;point-of-view;niche;creator,official YouTube URL with summary from transcript mirror
dk-youtube-dopamine-hijack,youtube,youtube,Social Media Keeps Getting Worse (How Your Dopamine Is Being Hijacked),Dan Koe,https://youtu.be/ni04Zp7mUMM,,en,summarized,high,corpus/youtube/0000-00-00-social-media-keeps-getting-worse.md,corpus/normalized/dk-youtube-dopamine-hijack.md,youtube;attention;meaning-economy;social-media,official YouTube URL cited in official Koe Cast show notes
dk-youtube-first-profitable-product,youtube,youtube,A Full Guide To Making Your First Profitable Product (Beginners Take Notes),Dan Koe,https://youtu.be/Er2s-CFoZSo,,en,summarized,high,corpus/youtube/0000-00-00-a-full-guide-to-making-your-first-profitable-product.md,corpus/normalized/dk-youtube-first-profitable-product.md,youtube;product;offer;one-person-business,official YouTube URL with summary from transcript and summary mirror
dk-linkedin-one-person-business-stack,linkedin-post,linkedin,I will hit $700K this year as a one-person business.,Dan Koe,https://www.linkedin.com/posts/thedankoe_i-will-hit-700k-this-year-as-a-one-person-activity-7001214011639816192-jlgU,,en,summarized,high,corpus/social/linkedin/0000-00-00-i-will-hit-700k-this-year-as-a-one-person-business.md,corpus/normalized/dk-linkedin-one-person-business-stack.md,linkedin;one-person-business;content-flywheel;offers,official LinkedIn post
dk-linkedin-thinking-secret,linkedin-post,linkedin,If the actions that lead to the life you want start in the mind then thinking actually thinking is the secret.,Dan Koe,https://www.linkedin.com/posts/thedankoe_if-the-actions-that-lead-to-the-life-you-activity-7420150024690573313-foj8,,en,summarized,high,corpus/social/linkedin/0000-00-00-thinking-actually-thinking-is-the-secret.md,corpus/normalized/dk-linkedin-thinking-secret.md,linkedin;thinking;ai;writing,official LinkedIn post
dk-linkedin-choose-a-project,linkedin-post,linkedin,It's not a fun feeling. Waking up and not knowing what to do.,Dan Koe,https://www.linkedin.com/posts/thedankoe_its-not-a-fun-feeling-waking-up-and-not-activity-7276284037399289857-rM_0,,en,summarized,high,corpus/social/linkedin/0000-00-00-its-not-a-fun-feeling-waking-up-and-not-knowing-what-to-do.md,corpus/normalized/dk-linkedin-choose-a-project.md,linkedin;meaning;project;life-design,official LinkedIn post
dk-youtube-better-personal-brand-video,youtube-summary,youtube,How To Build A Better Personal Brand Than 99% Of People,Dan Koe,https://videohighlight.com/v/HA6XxtGNOm0,,en,summarized,medium,corpus/youtube/0000-00-00-how-to-build-a-better-personal-brand-video.md,corpus/normalized/dk-youtube-better-personal-brand-video.md,youtube;personal-brand;trust;story,transcript-summary mirror for Dan Koe video
dk-x-single-person-power,x-mirror,x,You as a single person have more power today than a 20 person company of the past.,Dan Koe,https://w.twstalker.com/thedankoe,,en,summarized,medium,corpus/social/x/0000-00-00-you-as-a-single-person-have-more-power-today.md,corpus/normalized/dk-x-single-person-power.md,x;mirror;ai;leverage;one-person-business,mirror capture from TwStalker profile listing
dk-x-creative-person,x-mirror,x,I'm not a creative person. No you are but your mind is clogged.,Dan Koe,https://w.twstalker.com/thedankoe,,en,summarized,medium,corpus/social/x/0000-00-00-im-not-a-creative-person-no-you-are.md,corpus/normalized/dk-x-creative-person.md,x;mirror;creativity;attention;life-design,mirror capture from TwStalker profile listing
dk-x-agency-2026-01-08,x-thread,x,The most important skill to learn in the next 10 years,Dan Koe,https://x.com/thedankoe/status/2009320195848872014,2026-01-08,en,summarized,high,corpus/social/x/2026-01-08-the-most-important-skill-to-learn-in-the-next-10-years.md,corpus/normalized/dk-x-agency-2026-01-08.md,x;agency;generalist;ai;self-direction,archive-backed capture of official X thread
dk-x-multiple-interests-2026-01-10,x-thread,x,If you have multiple interests do not waste the next 2-3 years,Dan Koe,https://x.com/thedankoe/status/2010042119121957316,2026-01-10,en,summarized,high,corpus/social/x/2026-01-10-if-you-have-multiple-interests-do-not-waste-the-next-2-3-years.md,corpus/normalized/dk-x-multiple-interests-2026-01-10.md,x;multiple-interests;generalist;creator;one-person-business,archive-backed capture of official X thread
dk-youtube-one-person-business-model,youtube,youtube,The One-Person Business Model (How To Productize Yourself),Dan Koe,https://youtu.be/BZ2nSULolKI,,en,summarized,high,corpus/youtube/0000-00-00-the-one-person-business-model-how-to-productize-yourself.md,corpus/normalized/dk-youtube-one-person-business-model.md,youtube;one-person-business;productization;lifestyle-design,official YouTube URL with summary from transcript mirror
dk-youtube-normal-person-one-person-business,youtube,youtube,Build A One-Person Business As A Normal Person (From $0 To $10K),Dan Koe,https://youtu.be/hRgG8omhOJ0,,en,summarized,high,corpus/youtube/0000-00-00-build-a-one-person-business-as-a-normal-person.md,corpus/normalized/dk-youtube-normal-person-one-person-business.md,youtube;one-person-business;beginner;offers,official YouTube URL with summary from transcript mirror
dk-youtube-multiple-interests-one-person-business,youtube,youtube,If You Have Multiple Interests Start This One-Person Business,Dan Koe,https://youtu.be/cNGpxfcDKms,,en,summarized,high,corpus/youtube/0000-00-00-if-you-have-multiple-interests-start-this-one-person-business.md,corpus/normalized/dk-youtube-multiple-interests-one-person-business.md,youtube;multiple-interests;creator-economy;education,official YouTube URL with summary from transcript mirror
dk-youtube-value-creation,youtube,youtube,Value Creation: The Single Skill That Built My $1M Solo Business,Dan Koe,https://youtu.be/iAYVVLHm5Oc,,en,summarized,high,corpus/youtube/0000-00-00-value-creation-the-single-skill-that-built-my-1m-solo-business.md,corpus/normalized/dk-youtube-value-creation.md,youtube;value-creation;marketing;sales,official YouTube URL with summary from transcript mirror
dk-linkedin-ai-cannot-replace-writers,linkedin-post,linkedin,I could be wrong. But I don't think AI could ever replace writers.,Dan Koe,https://www.linkedin.com/posts/thedankoe_i-could-be-wrong-but-i-dont-think-ai-could-activity-7275513537618161664-PTi6,,en,summarized,high,corpus/social/linkedin/0000-00-00-i-could-be-wrong-but-i-dont-think-ai-could-ever-replace-writers.md,corpus/normalized/dk-linkedin-ai-cannot-replace-writers.md,linkedin;ai;writing;executive-function,official LinkedIn post
dk-linkedin-newsletter-social-account-business,linkedin-post,linkedin,People are building million-dollar businesses with a newsletter a social media account and the knowledge in their heads.,Dan Koe,https://www.linkedin.com/posts/thedankoe_people-are-building-million-dollar-businesses-activity-7054818247132536834-Fm5p,,en,summarized,high,corpus/social/linkedin/0000-00-00-people-are-building-million-dollar-businesses-with-a-newsletter.md,corpus/normalized/dk-linkedin-newsletter-social-account-business.md,linkedin;newsletter;social-media;knowledge-business,official LinkedIn post
dk-future-proof-manifesto-2025-05-06,newsletter,newsletter,The Future-Proof Manifesto (How To Stay Relevant In The Next 10 Years),Dan Koe,https://thedankoe.com/letters/the-future-proof-manifesto-how-to-stay-relevant-in-the-next-10-years/,2025-05-06,en,summarized,high,corpus/newsletters/2025-05-06-the-future-proof-manifesto-how-to-stay-relevant-in-the-next-10-years.md,corpus/normalized/dk-future-proof-manifesto-2025-05-06.md,creator-economy;media-business;future-proof;permissionless,high-fidelity structured summary from official essay
dk-ai-will-never-replace-true-creators-2025-08-14,newsletter,newsletter,AI will never replace true creators,Dan Koe,https://letters.thedankoe.com/p/most-creators-will-fail-in-the-next,2025-08-14,en,summarized,high,corpus/newsletters/2025-08-14-ai-will-never-replace-true-creators.md,corpus/normalized/dk-ai-will-never-replace-true-creators-2025-08-14.md,ai;creators;context;creator-economy,high-fidelity structured summary from official article
